Hour,Load (kW)
3209,72406.1352
3210,72774.9821
3211,76372.8802
3212,75687.1047
3213,80396.13
3214,80853.5044
3215,79748.0499
3216,77685.3004
3217,83914.4849
3218,78813.3431
3219,82307.9525
3220,81918.5319
3221,92015.6189
3222,91212.8153
3223,90091.5179
3224,86248.1034
3225,91784.3229
3226,91331.1675
3227,88603.1496
3228,72515.8161
3229,82102.2199
3230,80686.8474
3231,88249.1957
3232,77811.1299
3233,72728.3697
3234,90245.0235
3235,85167.2157
3236,70922.7783
3237,86725.2469
3238,86078.5528
3239,91168.1172
3240,84628.7847
3241,93214.559
3242,89552.1033
3243,83796.8984
3244,77418.7862
3245,64322.0568
3246,85417.8499
3247,84177.2767
3248,82179.6301
3249,85972.2072
3250,86074.7068
3251,86288.0386
3252,86380.8738
3253,86314.2668
3254,87232.6418
3255,80671.2642
3256,81005.768
3257,82490.4152
3258,83344.9299
3259,80858.3433
3260,75455.7498
3261,82731.0846
3262,79439.5963
3263,81727.0173
3264,85051.6753
3265,85044.2456
3266,74386.8426
3267,76415.8442
3268,60441.5354
3269,52463.1965
3270,71217.6547
3271,79389.2857
3272,77858.6048
3273,80366.2464
3274,81146.9426
3275,87469.3201
3276,76982.0277
3277,86258.1602
3278,77828.2072
3279,82330.2184
3280,83597.8918
3281,85373.831
3282,82852.708
3283,82628.6124
3284,75780.0549
3285,83196.3373
3286,83792.5758
3287,83627.4983
3288,79788.5088
3289,80530.8887
3290,81388.7083
3291,79279.0653
3292,81602.1006
3293,81639.7236
3294,80662.2327
3295,80951.3449
3296,79570.0022
3297,72623.123
3298,69425.4115
3299,73076.1869
3300,73494.2891
3301,65188.925
3302,72865.1451
3303,66063.1129
3304,72525.0021
3305,73445.5566
3306,73009.4797
3307,74354.171
3308,81536.1919
3309,86449.2359
3310,75049.4619
3311,71436.1664
3312,81133.86
3313,82310.0863
3314,80198.6635
3315,74826.628
3316,70501.3894
3317,66372.0958
3318,69332.6326
3319,64353.9153
3320,63275.9392
3321,54903.0649
3322,60309.8815
3323,60257.8258
3324,62760.1484
3325,72184.2486
3326,73255.3362
3327,71730.1452
3328,73769.7161
3329,73406.7734
3330,75332.6243
3331,75106.6585
3332,74109.2417
3333,71178.315
3334,73228.9988
3335,71718.4259
3336,74823.8528
3337,79848.0038
3338,73309.6538
3339,70941.1347
3340,64822.2216
3341,57587.3287
3342,60901.6567
3343,60100.4685
3344,62289.5783
3345,66649.6361
3346,62484.9465
3347,57609.116
3348,69907.1854
3349,58673.8154
3350,68293.3701
3351,68098.6425
3352,77425.192
3353,70633.021
3354,69516.1955
3355,65531.0524
3356,66577.7258
3357,64609.3311
3358,72253.0955
3359,68946.3983
3360,68010.1997
3361,51790.7225
3362,58504.3292
3363,56063.2507
3364,56614.1109
3365,54780.7776
3366,54279.7455
3367,51652.3859
3368,55605.3893
3369,61666.7494
3370,62909.1951
3371,63774.5866
3372,65234.5613
3373,62682.4152
3374,73104.0077
3375,76705.6997
3376,68976.9629
3377,68354.4946
3378,71809.4344
3379,80922.4512
3380,83268.0747
3381,81034.8224
3382,76227.6387
3383,78981.9726
3384,74001.0023
3385,78758.7288
3386,81778.1696
3387,74398.6714
3388,71657.1344
3389,65363.7689
3390,75626.5965
3391,71566.0229
3392,72336.7642
3393,60712.8543
3394,65134.7962
3395,65155.9307
3396,62029.7433
3397,65756.1914
3398,73233.612
3399,70756.822
3400,74131.7995
3401,70407.8199
3402,70715.4674
3403,73395.8185
3404,75973.9864
3405,69515.7071
3406,66941.0448
3407,69128.8077
3408,73181.7291
3409,74558.9782
3410,77857.4597
3411,70359.3104
3412,70348.7757
3413,63179.1788
3414,61400.8186
3415,58614.3712
3416,62784.3186
3417,65177.3027
3418,68871.0283
3419,71419.5963
3420,73446.6646
3421,72418.5178
3422,71834.2574
3423,72202.2077
3424,75233.7991
3425,75990.6768
3426,76326.5902
3427,71283.1171
3428,74897.3602
3429,69371.8273
3430,71261.0121
3431,72212.7643
3432,69763.9187
3433,67796.808
3434,68514.6245
3435,65128.5906
3436,70919.0739
3437,69202.1143
3438,69111.3153
3439,62419.813
3440,61471.5906
3441,66306.0455
3442,60542.1722
3443,63681.0978
3444,69555.8774
3445,65330.4956
3446,78049.2253
3447,70937.4761
3448,76065.9106
3449,73200.3033
3450,83158.8126
3451,79656.5152
3452,83016.4162
3453,87762.436
3454,88420.0829
3455,87054.3599
3456,86692.8281
3457,83496.9379
3458,77026.5104
3459,67538.661
3460,65851.4508
3461,64237.3001
3462,64683.7628
3463,59250.6382
3464,55561.185
3465,57307.5176
3466,64894.4263
3467,57380.8181
3468,66650.9788
3469,61403.3252
3470,70901.0843
3471,70228.3076
3472,71778.9314
3473,64718.2558
3474,66373.4056
3475,67349.0524
3476,62126.1318
3477,59704.689
3478,58390.998
3479,56652.7961
3480,58395.9671
3481,61872.741
3482,72280.5114
3483,58076.4445
3484,61318.1934
3485,60751.7107
3486,59748.2335
3487,59522.5217
3488,59963.8804
3489,65134.8902
3490,60025.1796
3491,64694.648
3492,63432.4877
3493,61193.264
3494,70713.4021
3495,65582.88
3496,66992.5893
3497,64462.9186
3498,65815.4421
3499,64431.3581
3500,61575.2389
3501,64708.551
3502,61487.2721
3503,60872.7879
3504,60087.1579
3505,66806.4038
3506,64007.4146
3507,58837.9559
3508,52833.913
3509,52333.7627
3510,52488.1979
3511,53965.6176
3512,58611.7814
3513,58601.1284
3514,56708.5592
3515,57883.3631
3516,55895.8921
3517,57839.5668
3518,61861.5253
3519,58432.6197
3520,61989.9981
3521,57480.8984
3522,57937.4727
3523,62255.4547
3524,58272.008
3525,53987.2224
3526,59564.9266
3527,55409.172
3528,56919.7128
3529,61328.2117
3530,60133.1786
3531,63197.3897
3532,69949.8636
3533,62629.0298
3534,61541.6063
3535,64581.7915
3536,60254.2222
3537,61139.9604
3538,57322.4595
3539,55838.7497
3540,63411.3868
3541,61845.3947
3542,66206.0493
3543,64093.1933
3544,68453.5179
3545,68787.6759
3546,69727.8142
3547,67998.0435
3548,72023.4063
3549,73044.1787
3550,67697.7874
3551,66716.6994
3552,74979.1094
3553,73958.6479
